"";"profit_t1";"profit_t2"
"1345";-2;4
"1346";3;-1
"1347";-3;-2
"1348";4;-1
"1349";4;-1
"1350";0;1
"1351";-1;3
"1352";-5;11
"1353";0;1
"1354";-8;-4
"1355";1;-3
"1356";-2;2
"1357";4;-8
"1358";-5;6
"1359";-5;8
"1360";5;4
"1361";0;-9
"1362";5;1
"1363";-1;-6
"1364";0;-6
"1365";1;-3
"1366";1;3
"1367";-1;-1
"1368";5;1
"1369";-1;-1
"1370";-1;-3
"1371";1;2
"1372";3;5
"1373";5;-1
"1374";3;5
"1375";-2;-4
"1376";3;-3
"1377";-3;3
"1378";7;5
"1379";-3;-1
"1380";2;-7
