"";"Player";"Team";"R";"ACS";"K.D";"KAST";"ADR";"Elo"
"runi";"runi";"SQ";1,07;207,6;1,05;74;139,2;3
"NagZ";"NagZ";"KRÜ";1,07;216,1;1,17;71;137;3
"ZesBeeW";"ZesBeeW";"BTR";1,07;238,1;1,21;72;150,1;3
"whz";"whz";"Toe";1,07;263,5;1,14;69;164,2;3
"eva";"eva";"BBL.Q";1,07;206;1,12;74;136,8;3
"Avez";"Avez";"RAAD";1,07;235;1,11;69;148,8;3
"seven";"seven";"TSM";1,07;234,5;1,15;71;146,9;3
"Ptf0x";"Ptf0x";"uP";1,07;217,5;1,12;66;140,5;3
"BcJ";"BcJ";"EG";1,07;206,7;1,06;75;136,7;3
"tex";"tex";"NRG";1,07;226,1;1,1;71;145,6;3
"pog";"pog";"Mustang";1,07;200,7;0,95;75;139,3;3
"Jazzyk1ns";"Jazzyk1ns";"C9W";1,07;232,9;1,1;72;152,2;3
"EJAY";"EJAY";"RRQ";1,07;236,7;1,15;71;149;3
"ntk";"ntk";"UNION";1,07;216,3;1,04;72;140,7;3
"Twisten";"Twisten";"VIT";1,07;239,7;1,12;70;155,1;3
"minhos";"minhos";"Team";1,07;214,5;1,08;71;146,5;3
"BerserX";"BerserX";"BME";1,07;236,1;1,17;72;145,9;3
"bella";"bella";"AGP";1,07;228,4;1,15;68;147,1;3
"Loop";"Loop";"KRS";1,07;235,4;1,2;71;159,9;3
"Karl";"Karl";"AKO";1,07;205,7;1,08;74;135,8;3
"Xeunayy";"Xeunayy";"NYB.F";1,07;215;1,15;70;139;3
"ninim";"ninim";"WC";1,07;245,9;1,16;70;154;3
"Vera";"Vera";"LVR";1,07;245,1;1,11;71;160,2;3
"Surf";"Surf";"XIA";1,07;233,2;1,16;70;147,7;3
"Hiko";"Hiko";"100T";1,07;187,8;1,08;74;126,6;3
"rachell";"rachell";"TEN.N";1,07;197,5;1;78;132,6;3
"Will";"Will";"100T";1,07;232;1,12;71;146,1;3
"Egoist";"Egoist";"SMG";1,07;229,7;1,26;74;144,2;3
"GianSanity";"GianSanity";"AEP";1,07;241,3;1,14;69;153;3
"aproto";"aproto";"G/B";1,07;203,7;1,06;75;129,7;3
"DubsteP";"DubsteP";"TS";1,07;230,5;1,15;70;146,8;3
"moose";"moose";"SR";1,07;200;1,05;73;131,9;3
"fl1pzjder";"fl1pzjder";"RRQ";1,07;227,8;1,1;71;143,7;3
"Enzo";"Enzo";"FNC";1,07;197,5;1,02;74;133,4;3
"Haxtrax";"Haxtrax";"LAND";1,07;228,4;1,12;68;149,4;3
"Addicted";"Addicted";"RBLS";1,07;195,5;1,05;74;131,3;3
"Estrella";"Estrella";"DK";1,07;207,3;1,11;69;138,1;3
"Minny";"Minny";"EP";1,07;219,2;1,17;70;142,2;3
"Crewen";"Crewen";"FF.Y";1,07;209,2;1,13;73;144,7;3
"stimx";"stimx";"BeeN";1,07;230;1,07;69;148,5;3
"Asuna";"Asuna";"100T";1,07;236;1,04;73;151,5;3
"Polvi";"Polvi";"MAD";1,07;235,9;1,07;70;149,6;3
"Killu";"Killu";"VMS";1,06;210,2;1,08;69;136,2;3
"brk";"brk";"ORO";1,06;245;1,09;72;146,5;3
"ShahZaM";"ShahZaM";"Team";1,06;208,7;1,11;73;131,9;3
"zAAz";"zAAz";"G2.G";1,06;196;1,11;75;130,5;3
"xprt";"xprt";NA;1,06;176;1;74;115,9;2
"frutta";"frutta";"Team";1,06;205;0,94;73;127,6;3
"junglew0w";"junglew0w";"FC";1,06;196,5;1,07;72;130,1;3
"jcrueL";"jcrueL";"Scoo";1,06;224,1;1,15;70;139,5;3
"MiniBoo";"MiniBoo";"CASE";1,06;220,7;1,09;69;140;3
"Quv3n";"Quv3n";"Oxuj";1,06;222;1,2;67;139,9;3
"killax";"killax";"ZINK";1,06;200;0,96;72;132,4;3
"SugarZ3ro";"SugarZ3ro";"ZETA";1,06;197,1;1,07;74;129,4;3
"Chloee";"Chloee";"LEV.F";1,06;266,6;1,1;72;167;3
"hyeoni";"hyeoni";"DK";1,06;219;1,15;73;139,2;3
"Has1ra14";"Has1ra14";"CNJ";1,06;216,7;1,1;71;139;3
"signed";"signed";"BOBO";1,06;190,6;1,05;75;124,6;3
"sibeastw0w";"sibeastw0w";"NSR";1,06;238,8;1,07;68;152,5;3
"Mojer";"Mojer";"NS";1,06;234,6;1,07;69;154;3
"zander";"zander";"V1";1,06;199;1,04;74;128,4;3
"Shyy";"Shyy";"LEV";1,06;196,7;1,05;73;123,1;3
"TS";"TS";"GEN";1,06;201,8;1,03;74;130,1;3
"Mo1sesGOD";"Mo1sesGOD";"SRD";1,06;194;1;69;122,4;2
"Shyfty";"Shyfty";"AREA";1,06;169,3;0,89;74;120,3;2
"SpYzera";"SpYzera";"FLC";1,06;210,6;1,08;74;137,4;3
"Jesse";"Jesse";"GIA";1,06;214,2;1,05;73;140,8;3
"starxo";"starxo";"ACE";1,06;204;1,08;72;128,1;3
"ANDROID";"ANDROID";"NRG";1,06;229,8;1,16;73;147,7;3
"Eidolon";"Eidolon";"USC";1,06;213;1,04;81;142,7;3
"zeek";"zeek";"TH";1,06;225,6;1,14;73;142,4;3
"Foxy9";"Foxy9";"DRX";1,06;247,6;1,13;71;155,3;3
"Sayaplayer";"Sayaplayer";"T1";1,06;221,6;1,12;71;142,2;3
"diseased";"diseased";"B8";1,06;209,4;1,08;70;135,7;3
"mitch";"mitch";"C9";1,06;205,6;1,06;73;132;3
"ISSAA";"ISSAA";"YLA";1,06;218,4;1,15;67;138,8;3
"Tian";"Tian";"Ramb";1,06;239,3;1,18;67;146,7;3
"them1s";"them1s";"KFLR";1,06;194,6;1,09;75;123,5;3
