"";"Player";"Team";"R";"ACS";"K.D";"KAST";"ADR";"Elo"
"mw1";"mw1";"VLT";1,06;236,7;1,11;71;144,6;3
"blaZek1ng";"blaZek1ng";"BME";1,06;205;1,08;72;134;3
"THIS";"THIS";"DAT SPLAAAH";1,06;220,7;1,08;75;142,6;3
"Pa1nt";"Pa1nt";"Team";1,06;247,3;1,1;64;158,4;3
"feqew";"feqew";"LPCN";1,06;221,9;1,11;70;140,4;3
"X2ge";"2ge";"RRQ";1,06;201;1,05;72;128,7;3
"H1yaA";"H1yaA";"LH";1,06;198,8;0,96;73;131,5;3
"cath";"cath";"TSM.X";1,06;215,3;1,06;73;140,2;3
"Zoe";"Zoe";"MSF";1,06;219,4;1,09;71;144;3
"Rb";"Rb";"DRX";1,06;222,7;1,17;73;138;3
"Yeji";"Yeji";"EQ C";1,06;217,1;1,02;62;145,2;3
"million";"million";"BB";1,06;189,6;0,95;73;123,9;2
"MiyokaPanda";"MiyokaPanda";"Unbi";1,06;268;1,04;61;180,4;3
"Moh";"Moh";"FLC";1,06;210;1,07;71;136,9;3
"SimonD4rk";"SimonD4rk";"WAVE";1,06;233,1;1,08;70;149,9;3
"Mega";"Mega";"KESC";1,06;247,3;1,02;69;168;3
"Iyo";"Iyo";"CBT";1,06;206,2;1,03;72;131,2;3
"Logic";"Logic";"BHOP";1,06;275;1;58;175,9;3
"Yurii";"Yurii";"CASE";1,06;195,1;1,03;75;122,4;3
"pyth";"pyth";"G2";1,06;190,8;1,05;74;128,2;3
"micaela";"micaela";"9z";1,06;241,7;1,13;67;152,6;3
"Retla";"Retla";"BLD";1,06;198,7;1,08;72;127,2;3
"Ruxic";"Ruxic";"PRL";1,06;190,5;1,04;75;125,7;3
"Khalil";"Khalil";"FUR";1,06;193,5;1,05;73;125,9;3
"Ruleh";"Ruleh";"AREA";1,06;212,7;1,09;70;128,9;3
"aNguiSt";"aNguiSt";"Vitr";1,06;218,9;1,06;71;146,3;3
"Kamisseq";"Kamisseq";"AM";1,06;221,5;1,09;72;143,6;3
"OXY";"OXY";"YFP";1,06;244,4;1,14;69;154,1;3
"tucks";"tucks";"ORD";1,06;196;1,05;73;124,6;3
"Why";"Why";"Are You Mad";1,05;244,7;0,98;72;159,1;3
"ceNder";"ceNder";"VIT";1,05;205,3;1,08;70;131,2;3
"Melser";"Melser";"KRÜ";1,05;190,5;1,03;74;123,5;3
"xazyy";"xazyy";"DSY";1,05;198,1;0,99;70;129,4;3
"vaLentina";"vaLentina";"FIRE";1,05;200,8;1,08;74;130;3
"SteMpy";"SteMpy";"K10";1,05;207,4;1,07;68;134,9;3
"Jamppi";"Jamppi";"TL";1,05;220,6;1,14;70;136,1;3
"Mazino";"Mazino";"LEV";1,05;219,2;1,08;72;139,3;3
"crashies";"crashies";"NRG";1,05;201,4;1,06;74;132,9;3
"Marved";"Marved";"FaZe";1,05;206,7;1,03;73;133,2;3
"hellff";"hellff";"VLT";1,05;196,4;1,07;71;128;3
"CidZzZ";"CidZzZ";"DELI";1,05;195,6;1,01;75;127,3;3
"xand";"xand";"KRÜ";1,05;243,5;1,14;72;147,4;3
"MCD";"MCD";"NxS";1,05;208,9;1,01;67;131,6;3
"B1SK";"B1SK";"KPI";1,05;243;1,09;67;150,7;3
"Zino";"Zino";"ARZ";1,05;207,6;1,09;69;132,5;3
"Vania";"Vania";"BBL.Q";1,05;209,4;1,1;76;137,3;3
"Kyu";"Kyu";"SCC";1,05;240,8;1,03;65;163,4;3
"Vinseer";"Vinseer";"Hike";1,05;191,2;1,12;72;130,9;3
"kyrrz";"kyrrz";"KPI";1,05;213,5;1,07;70;134,5;3
"accHr";"accHr";"iG";1,05;214,4;1,05;66;133,9;3
"takej";"takej";"DNG";1,05;224;1,16;69;140,4;3
"Mazuong";"Mazuong";"TRIDENT";1,05;257,9;1,08;74;173,8;3
"Goaster";"Goaster";"MDR";1,05;226,8;1,08;69;143,5;3
"Hannah";"Hannah";"GEN.B";1,05;221;1,15;72;144,8;3
"Nivera";"Nivera";"KCORP";1,05;193,4;1,1;72;126,6;3
"Dep";"Dep";"ZETA";1,05;229,1;1,13;70;140,3;3
"Georggyyy";"Georggyyy";"AKO";1,05;250,4;1,1;69;157,5;3
"xenon";"xenon";"Labo";1,05;229,7;1,14;69;146,9;3
"qw1";"qw1";"FUT";1,05;231,5;1,17;69;145,9;3
"xander";"xander";"FS";1,05;239,3;1,12;68;149,2;3
"InfrequeNt";"InfrequeNt";"WC";1,05;214,4;1,04;72;136,5;3
"rubkkoide";"rubkkoide";"9z";1,05;194,8;0,98;72;126,5;3
"krain";"krain";"VKS";1,05;207,3;1,12;73;133,8;3
"ngiN";"ngiN";"AT";1,05;217,5;1,06;67;143,5;3
"mindfreak";"mindfreak";"PRX";1,05;182,4;1,06;74;117;3
"Mimori";"Mimori";"DIVI";1,05;226;1,11;70;149,5;3
"RedKoh";"RedKoh";"AECL";1,05;216,1;1,08;70;137;3
"Tisora";"Tisora";"ODK";1,05;229,9;1,09;70;148,3;3
"Anq";"Anq";"FNST.OWO";1,05;222,4;1,07;67;140;3
"cp2";"cp2";"RNG";1,05;195,1;1;73;120,9;3
"Feeqn";"Feeqn";"BIG";1,05;210,2;1,05;71;135,8;3
"Sacake";"Sacake";"KOI";1,05;214,2;0,99;73;144,6;3
"wippie";"wippie";"V1";1,05;205,1;1,08;74;134,5;3
"KILLDREAM";"KILLDREAM";"OLDT";1,05;241,6;1,06;69;153,7;3
"bang";"bang";"100T";1,05;207,2;1,05;72;132,9;3
"PEARSS";"PEARSS";"WB";1,05;234,7;1,1;64;145,8;3
"hussaR";"hussaR";"RN";1,05;206,5;1,01;73;136,9;3
"mehzy";"mehzy";"DNAD";1,05;241;1,09;71;152,8;3
"Jelly";"Jelly";"B4A";1,05;214,3;1,01;72;141,4;3
"popogachi";"popogachi";"CR";1,05;206,3;0,99;73;142,1;3
"kamyk";"kamyk";"UCAM";1,05;211,3;1,06;72;139,4;3
"Depyro";"Depyro";"EGYPT";1,05;204,2;1,01;72;131,1;3
"DH";"DH";"NÖF";1,05;221,8;0,99;72;145,8;3
"Cendary";"Cendary";"BSX";1,05;217,4;1,09;74;136,9;3
"markL";"markL";"TLN";1,05;244,1;1,13;66;153,1;3
"Klockzy";"Klockzy";"CD";1,05;219;1,03;70;139,3;3
"krozera";"krozera";"XcN";1,05;217;1,02;67;135,9;3
"Meteor";"Meteor";"GEN";1,05;248;1,13;68;154,2;3
"Elite";"Elite";"BBL";1,05;215,8;1,12;70;140,5;3
"poiz";"poiz";"C9A";1,05;221,7;1,11;71;140,7;3
"pwny";"pwny";"T1";1,05;207,2;1,1;72;132;3
"H1ber";"H1ber";"VIT";1,05;243,1;1,04;69;156,2;3
"Munchkin";"Munchkin";"T1";1,05;229,3;1,08;71;145,6;3
"draken";"draken";"GLD";1,05;203,6;1,06;73;129,3;3
"Wo0t";"Wo0t";"FF";1,04;222,1;1,08;71;145,5;3
"X7ssk7";"7ssk7";"NAVI";1,04;213,1;1,07;69;139,9;3
"b3ta";"b3ta";"MiTH";1,04;193,8;0,98;75;126,4;3
"tehbotoL";"tehbotoL";"RRQ";1,04;204,5;1,06;74;132,4;3
"malfY";"malfY";"Team";1,04;246,3;1,12;65;153,6;3
"cLeVerLy";"cLeVerLy";"MAJT";1,04;202,8;1,02;69;133,7;3
"wizard";"wizard";"WC";1,04;195,2;0,97;67;123,3;2
"rhyme";"rhyme";"GIA";1,04;216;1,04;71;141,8;3
"Sliicyy";"Sliicyy";"FR";1,04;213,5;1,05;75;137;3
"mittiii";"mittiii";"FL";1,04;221,4;1,08;67;136,3;3
"MaikoRioo";"MaikoRioo";"7TH";1,04;220,2;1,02;70;143,1;3
"Sp1ke";"Sp1ke";"FVT";1,04;224,5;1,12;70;143,7;3
"Leare";"Leare";"HSDI";1,04;236,3;1,11;67;147,8;3
"wak1e";"wak1e";"SWEN";1,04;220,3;1,11;69;143,2;3
"drn";"drn";"TL";1,04;187,3;1;74;120,8;3
"pl1xx";"pl1xx";"BOBO";1,04;224,9;1,11;73;141,2;3
"Rodz3ris";"Rodz3ris";"H$";1,04;205,1;0,92;81;132,1;3
"WUKONG";"WUKONG";"FCY";1,04;224,7;1,04;71;145,7;3
"aeiden";"aeiden";"BSO";1,04;204,2;0,99;68;131,9;3
"effys";"effys";"V1";1,04;184,9;0,98;75;123,3;3
"Jlerst";"Jlerst";"PRL";1,04;202,6;1,06;76;132,6;3
"aimhunterr";"aimhunterr";"UAE";1,04;232,2;1,11;70;146,2;3
"Dutch";"Dutch";"GK";1,04;190,5;1,04;70;126,8;3
"Kryptix";"Kryptix";"BAR";1,04;190,8;1,05;75;125,4;3
"LEW";"LEW";"FC";1,04;232,3;1,08;67;152,5;3
"Ali";"Ali";"Crou";1,04;219;1,04;70;144;3
"Witz";"Witz";"TS";1,04;209;1,06;70;133,2;3
"deshaunte";"deshaunte";"FNK";1,04;201,6;0,97;70;126,8;3
"ScrewFace";"ScrewFace";"26 R";1,04;229,6;1,07;68;144,7;3
"DHITO";"DHITO";"BSTR";1,04;222,4;1,07;72;144,9;3
"Felix";"Felix";"WAVE";1,04;199,3;1,03;74;137,1;3
"lenne";"lenne";"TS";1,04;199;1;73;131,6;3
"adverso";"adverso";"LEV";1,04;206;1,03;72;132,1;3
"autimatic";"autimatic";"T1";1,04;224,4;1,09;74;139,6;3
"jannyXD";"jannyXD";"RBLS";1,04;226,9;1,12;71;143,8;3
"rivszn";"rivszn";"Carl";1,04;238,8;1,12;72;160,6;3
"JayH";"JayH";"BLD";1,04;193,5;1;74;126,8;3
"Jremy";"Jremy";"TS";1,04;217;1,03;70;140,8;3
"AloNeFillz";"AloNeFillz";"MiTH";1,04;199,1;1,05;75;131,2;3
"Paincakes";"Paincakes";"CB";1,04;207,8;1,03;73;134,4;3
"Jonaaa6";"Jonaaa6";"TS";1,04;197,5;1,03;74;130,8;3
"JessieVash";"JessieVash";"TS";1,04;195,7;1;74;132,3;3
"s0m";"s0m";"Team";1,04;220,5;1,09;71;139,6;3
"Deryeon";"Deryeon";"BLD";1,04;229,1;1,08;71;145,5;3
"BORKUM";"BORKUM";"TS";1,04;206,1;1,06;71;132,6;3
"Boo";"Boo";"TH";1,04;190,3;1,02;73;124,1;3
"Dcop";"Dcop";"FS";1,04;215,4;0,99;72;139,2;3
"KING";"KING";"VINNY";1,04;211,7;1,13;71;138,1;3
"fooX";"fooX";"BD";1,04;194,9;1,02;72;123,7;3
"Drone";"Drone";"DR";1,04;206,9;1,07;72;134;3
"sayoo";"sayoo";"BTR";1,04;215,6;1,03;72;135,2;3
"havoc";"havoc";"UNION";1,04;223,5;1,08;70;142,3;3
"Nille";"Nille";"ALL";1,04;201;1,12;71;134,3;3
"Arial";"Arial";"B4A";1,04;143,3;0,92;78;90,4;2
"WRONSKI";"WRONSKI";"GES";1,04;252;1,11;68;158;3
"gob";"gob";"b
																			BIG";1,04;195,2;0,98;74;130;3
"BlackHeart";"BlackHeart";"SILK";1,04;206;1,03;72;137,9;3
"gnaru";"gnaru";"SRD";1,04;207,1;1,01;74;136,5;3
"SORRYMYBAD";"SORRYMYBAD";"RNG";1,04;213,3;1,09;76;134;3
"Agnes";"Agnes";"GHS";1,04;179,2;0,87;62;130;2
"kon4n";"kon4n";"TBK";1,04;216,4;1,04;71;140,5;3
"fixky";"fixky";"SMG";1,04;199,8;1,02;75;125,9;3
"SwayZ";"SwayZ";"LT";1,04;211,3;1,12;70;138,7;3
"bipo";"bipo";"ITA";1,04;208;1,05;72;131,4;3
"Ayzee";"Ayzee";"AT";1,04;207,2;1,1;73;137,3;3
"Noia";"Noia";"XSET.P";1,04;229,2;1,1;68;152;3
"Critical";"Critical";"YFP";1,04;210;1,03;72;140,5;3
"muffinloop";"muffinloop";"VLT";1,04;238,6;1,13;62;152,6;3
"nobody";"nobody";"EDG";1,04;199,1;1;73;131,3;3
"Kanpeki";"Kanpeki";"STORM";1,04;214;1,04;71;134,8;3
"Chadi";"Chadi";"RN";1,04;214,9;1,1;69;133;3
"BebeWHO";"BebeWHO";"RLS";1,04;213,1;0,93;63;136,2;3
"jeffie";"jeffie";"ASP";1,04;223,4;1,11;67;144;3
"Gia";"Gia";"NAVI.C";1,04;212,2;1,09;71;142,1;3
"Rosa";"Rosa";"Stel";1,04;256,2;1,07;66;170;3
"rite2ace";"rite2ace";"VLT";1,04;190,4;1,05;74;126,4;3
"Excali";"Excali";"VLT";1,04;224,7;1,08;71;146,2;3
"aimDLL";"aimDLL";"BBL";1,04;205,9;1,05;73;137,6;3
"ban";"ban";"T1";1,04;221,8;1,08;71;140,5;3
"Aimbot";"Aimbot";"TiA";1,04;185,2;0,84;60;114,6;2
"Davidp";"Davidp";"DSY";1,04;192,2;1,05;73;122,4;3
"mada";"mada";"SR";1,04;221,3;1,01;71;143,6;3
"Mistic";"Mistic";"FNC";1,04;186,8;1,06;75;120,5;3
"mate";"mate";"EZ K";1,04;192;1,08;71;128;3
"VenTT";"VenTT";"FF.Y";1,04;230,7;1,08;70;147,6;3
"tesseract";"tesseract";"ENGM";1,04;220,3;1,04;71;145,1;3
"CRZY";"CRZY";"Duck";1,04;219,9;0,87;68;148;3
"HAXX";"HAXX";"feel";1,04;226,3;1;66;146;3
"cxy0714";"cxy0714";"GA";1,04;207;0,98;71;130,9;3
"Brinks";"Brinks";"SEMO";1,04;216,7;1;73;140,1;3
"YaBoiDre";"YaBoiDre";"NYFU";1,04;219,7;1,05;71;142,7;3
"Nexi";"Nexi";"RRQ";1,04;213,2;1,07;74;137,7;3
"Kevzii";"Kevzii";"RRQ";1,04;206,3;1,02;71;140,7;3
"Bunny";"Bunny";"F4Q";1,03;224,9;1,05;71;144,3;3
"Keiko";"Keiko";"bonk";1,03;219,3;1,09;69;143,5;3
"peri";"peri";"DK";1,03;180,7;1,04;72;120,7;2
"yetujey";"yetujey";"FF";1,03;190,3;1,08;70;124,8;3
"BRNWOWZK1";"BRNWOWZK1";"SH";1,03;220,7;1,06;70;144,1;3
"Ambi";"Ambi";"Fast";1,03;215,8;1,06;72;139,1;3
"prince";"prince";"LOS";1,03;203,3;1,03;70;135,3;3
"KPZET";"KPZET";"FKS";1,03;212;1,07;71;138,4;3
"MONSTEERR";"MONSTEERR";"ACE";1,03;212,3;1,06;70;141,3;3
"Lightningfast";"Lightningfast";"GES";1,03;212,2;1,07;71;138,5;3
"Toon";"Toon";"YLA";1,03;201;0,97;71;133,7;3
"Touven";"Touven";"GGO";1,03;212,2;1;71;144,2;3
"zeldris";"zeldris";"STEA";1,03;226,5;1,1;67;143,6;3
"Dreamas";"Dreamas";"TL";1,03;200,2;1,05;72;132,1;3
"leobas";"leobas";"SNX";1,03;205,2;1,02;71;135,8;3
"Bones";"Bones";"ex-S";1,03;222,1;1,06;72;143,9;3
"YOKO";"YOKO";"Stoi";1,03;184,3;0,88;63;121,5;2
"mizuN";"mizuN";"WAVE";1,03;206,7;1,05;71;135,6;3
"cortezia";"cortezia";"TBS";1,03;225,9;1,02;72;149;3
"BandiCoot";"BandiCoot";"EXL";1,03;207,2;1,05;72;130,6;3
"nitr0";"nitr0";"100T";1,03;196,6;1,05;72;126,7;3
"FirstLove";"FirstLove";"MOON";1,03;203,7;1,05;71;132,8;3
"Closer";"Closer";"6K";1,03;201,7;1;72;128,7;3
"Kehmicals";"Kehmicals";"Clan";1,03;226,7;1,11;69;141,6;3
"FakeAnanas";"FakeAnanas";"ZINK";1,03;199;0,93;71;130,5;3
"allow";"allow";"DK";1,03;235,4;1,13;70;147,4;3
"Maskon";"Maskon";"ARF";1,03;204,5;1,07;72;129,3;3
"duhT";"duhT";"DELI";1,03;202,5;1,05;71;130,5;3
"hayden";"hayden";"PH";1,03;164,6;0,69;86;101,9;2
"valyn";"valyn";"TGRD";1,03;207,3;1,02;74;133,5;3
"Ziggy";"Ziggy";"TR";1,03;179,2;0,73;65;107,2;2
"Chowdy";"Chowdy";"BSTL";1,03;215,3;1,02;72;141,6;3
"Eldogor";"Eldogor";"BM";1,03;201,6;1,04;74;130,5;3
"DrK";"DrK";"EZcl";1,03;168,3;0,83;72;115,1;2
"reizek";"reizek";"Dece";1,03;232,7;1,06;68;137,8;3
"Ethan";"Ethan";"EG";1,03;206;1,04;73;133;3
"jmoh";"jmoh";"VRT";1,03;203,3;1,02;70;127,5;3
"ColdFish";"ColdFish";"Toe";1,03;206,8;1,04;73;134,8;3
"JonahP";"JonahP";"TGRD";1,03;208;1,06;73;134,7;3
"Kush";"Kush";"AE";1,03;222,5;1,03;73;143,9;3
"venture";"venture";"MR";1,03;188,7;0,97;73;125,9;3
"HussaR";"HussaR";"9z";1,03;205,3;1,05;70;129,9;3
"warwick";"warwick";"Z11";1,03;218,6;1;66;143,5;3
"flabben";"flabben";"BVD";1,03;203,1;1,07;70;130,7;3
"Zest";"Zest";"DRX";1,03;193;1,06;74;124,9;3
"canefis";"canefis";"UOL";1,03;200,2;1,03;69;134,5;3
"DVDOV";"DVDOV";"UAE";1,03;211,9;1,04;69;138,5;3
"Meddo";"Meddo";"G2";1,03;194,9;1,14;74;127,8;3
"gtn";"gtn";"MIBR";1,03;207;1,03;73;132,8;3
"logaN";"logaN";"BDS";1,03;200,5;1,1;73;131,4;3
"neth";"neth";"CR";1,03;202,3;1,1;71;129,9;3
"jerry";"jerry";"Dami";1,03;216,2;1,05;75;141,1;3
"chiwawa";"chiwawa";"XL";1,03;220,2;1,1;70;142,3;3
"shion";"shion";"LBR";1,03;216,6;1,06;73;137,4;3
"Babytz";"Babytz";"X10S";1,03;217,8;1,08;72;139,3;3
"randyySAVAGE";"randyySAVAGE";"GKS";1,03;208,1;1,02;70;137,6;3
"tyzz";"tyzz";"DAB";1,03;209,3;0,96;76;132,8;3
"adrnking";"adrnking";"AE";1,03;212,3;1,07;73;136,1;3
"C0M";"C0M";"EG";1,03;200,5;1,03;72;132,7;3
"Doomsday";"Doomsday";"SNH";1,03;230;1,21;67;163,8;3
"SLT";"SLT";"Necr";1,03;233,5;1,17;60;149;3
"TakaS";"TakaS";"KCORP";1,03;220,9;1,06;70;137,5;3
"Famsii";"Famsii";"Sunn";1,03;241,7;1,1;69;155,1;3
"PKHI";"PKHI";"47";1,03;237,6;1,06;71;151,1;3
"bld";"bld";"ODK";1,03;206;1,02;69;134;3
"Paz";"Paz";"DA";1,03;230,3;1,14;65;141,2;3
"PROFEK";"PROFEK";"inco";1,03;225,3;1,09;66;147,3;3
"bunny";"bunny";"bee
																			XSET.P";1,03;249,2;1,1;68;160,8;3
"DRAGON";"DRAGON";"BOBO";1,03;229,8;1,06;68;150,4;3
"Katarina";"Katarina";"VX";1,03;236,3;1,07;69;152,1;3
"PureR";"PureR";"SQ";1,03;222,4;1,09;71;140,2;3
"doma";"doma";"BRAT";1,03;221,8;1,11;73;141,9;3
"Dolph";"Dolph";"WSF";1,03;208,5;1,03;72;144,7;3
"Kinguyen";"Kinguyen";"HEET";1,03;235,4;1,1;70;153,5;3
"Kremaaaa";"Kremaaaa";"OSERV";1,03;195,8;0,91;63;127,6;2
"d3ffo";"d3ffo";"IWC";1,03;213,5;1,09;70;131,9;3
"looM";"looM";"YTR";1,03;214,8;1,03;69;141,1;3
"zeddy";"zeddy";"PHXE";1,03;215,8;1,07;73;137,5;3
"Shondex";"Shondex";"AOE";1,03;231,1;1,08;69;147,8;3
"dynamic";"dynamic";"T1";1,03;228,1;1,09;68;145,8;3
"dizzyLife";"dizzyLife";"SQ";1,03;217,5;1,1;70;135,5;3
"Ritha";"Ritha";"NAVI.C";1,03;203,5;1,01;73;138;3
"spellfull";"spellfull";"OBG";1,03;219,5;1,13;70;135,8;3
"vakk";"vakk";"ACE";1,03;220,6;1,08;71;137,8;3
"wavy";"wavy";"Hype";1,03;249,1;1,11;65;157,9;3
"nephh";"nephh";"LVR";1,03;222;1,03;74;141,6;3
"Meeeeester";"Meeeeester";"Juan
																			YFP";1,02;228;1,01;72;147,6;3
"MaiShiu";"MaiShiu";"BONK";1,02;192;0,98;72;129,4;3
"baddyG";"baddyG";"VIT";1,02;219,5;1,03;71;144,3;3
"shifty";"shifty";"FREE";1,02;205,2;0,95;73;134,6;3
"daps";"daps";"NRG";1,02;186;0,98;72;123,2;2
"Cade3k";"Cade3k";"TS";1,02;192;1,01;74;127,8;3
"Suggest";"Suggest";"DNG";1,02;219,7;1,14;74;138,6;3
"Paradox";"Paradox";"Supr";1,02;216,3;0,91;69;131,2;3
"Lax";"Lax";"OGT.X";1,02;190,1;1,11;71;124,6;3
"Kaephrodite";"Kaephrodite";"SMG";1,02;220;1,03;72;143;3
"baesht";"baesht";"KRÜ.F";1,02;172;0,96;77;110,1;2
"GANA";"GANA";"RIO";1,02;187,1;1;77;118,8;3
"Marti";"Marti";"T.AM";1,02;257,1;1,07;65;164,3;3
"Victor";"Victor";"NRG";1,02;221,4;1,05;72;140,8;3
"Raki";"Raki";"SANA";1,02;239,5;1,09;70;149,5;3
"stalker";"stalker";"TU";1,02;174,2;1,07;74;113,4;2
"krea6on";"krea6on";"TUN";1,02;219,6;1,02;68;139,3;3
"h6tedthemost";"h6tedthemost";"ACE";1,02;199,8;1;72;130,8;3
"dgzin";"dgzin";"FUR";1,02;233,8;1,1;69;142;3
"liazzi";"liazzi";"VKS";1,02;218,8;1,03;71;141;3
"txddy";"txddy";"RED";1,02;198,7;1,01;71;127,2;3
"thief";"thief";"SoaR";1,02;221,8;1,05;70;143,8;3
"rayse";"rayse";"IMT";1,02;224,8;1,03;71;147,2;3
"Glance";"Glance";"G2.G";1,02;177,9;0,98;76;116,4;2
"Marlboro";"Marlboro";"Voya";1,02;226,3;1,03;66;142,4;3
"shooterR";"shooterR";"Snakes";1,02;238,5;1,07;68;153;3
"grubinho";"grubinho";"TH";1,02;197,1;1,01;72;126,9;3
"perelomslivki";"perelomslivki";"YPPB";1,02;194;0,96;73;122,4;3
"fainz";"fainz";"EGN";1,02;245,5;1,02;62;157,7;3
"Warmest";"Warmest";"Aloha
																			Gods";1,02;216,8;1,07;68;142,6;3
"Yort";"Yort";"WST";1,02;202,7;0,99;69;137,7;3
"EXTREMEE";"EXTREMEE";"Team";1,02;192,3;1;71;125,8;3
"ketarys";"ketarys";"Fall";1,02;205,7;1,03;71;137;3
"S1Eugene";"S1Eugene";"LVR";1,02;185,1;0,84;71;121,3;2
"Gerroud";"Gerroud";"Exce";1,02;185;1,13;72;114,7;3
"SHNAZNNNN";"SHNAZNNNN";"IWC";1,02;199,8;1,01;70;129,8;3
"MerSa";"MerSa";"GSE";1,02;189,3;0,92;73;121,9;2
"Brave";"Brave";"BBL";1,02;217;1,05;72;139;3
"Harmful";"Harmful";"TSM.A";1,02;229,2;1,08;66;144,4;3
"JinNy";"JinNy";"X10S";1,02;173,5;0,89;72;113,9;2
"AlKawai";"AlKawai";"ex I";1,02;209,2;0,96;75;141;3
"Velocity";"Velocity";"UAESA.G";1,02;221,7;1,06;69;144,1;3
"RobbieBk";"RobbieBk";"DSY";1,02;194,9;0,97;71;129,3;3
"Myd";"Myd";"Mathers
																			NCG";1,02;190,4;0,96;71;125,7;2
"OuTLaW";"OuTLaW";"SA";1,02;204,7;0,99;71;132,6;3
"Spaz";"Spaz";"Blin";1,02;193,5;0,99;74;127,4;3
"Dutti";"Dutti";"MF";1,02;224,7;1,03;68;145,8;3
"dephh";"dephh";"SEN";1,02;193,7;0,98;71;126,8;3
"rosey";"rosey";"WSF";1,02;215,2;1,02;72;145,5;3
"punda";"punda";"BONK";1,02;213,4;0,98;71;139,7;3
"Chryss";"Chryss";"Vexed";1,02;227,4;1,02;67;140;3
"paTiTek";"paTiTek";"TU";1,02;209,7;1,03;74;130,7;3
"Sushi";"Sushi";"Carl";1,02;223;1,05;72;150,5;3
"JoshS";"JoshS";"RNT";1,02;210,5;1,01;70;136,7;3
"Louitan";"Louitan";"eM";1,02;224,1;1,04;69;142,1;3
"Boom";"Boom";"MT";1,02;203,1;0,98;69;130,1;3
"moner";"moner";"Vx3";1,02;195,2;0,97;71;126,1;3
"xenp1o";"xenp1o";"Oxuj";1,02;194,3;1,03;72;128,6;3
"szimpli";"szimpli";"MOUZ";1,02;236;1,07;70;151,9;3
"Felipa";"Felipa";"ITB.P";1,02;210,9;0,98;71;137,7;3
"GuhRVN";"GuhRVN";"UNION";1,02;190,4;0,98;73;124,1;3
"dr0wnzy";"dr0wnzy";"TBA";1,02;213,7;1,08;72;144,6;3
"dapr";"dapr";"SEN";1,02;198,9;1,04;72;125,7;3
"eXampL";"eXampL";"ANO";1,02;196;0,98;72;134,3;3
"Lear";"Lear";"ZMM.B";1,02;196,5;1;72;131,5;3
"xenon.1";"xenon";"ANO";1,02;191,3;0,97;72;125,6;3
"hype";"hype";"OGLU";1,02;200,8;1;70;132,5;3
"quantumrino";"quantumrino";"ITB";1,02;230,6;1,08;70;148,3;3
"deLb";"deLb";"AE";1,02;227,4;1,07;71;147,4;3
"HomE";"HomE";"MOX";1,02;226;1,09;67;142,9;3
"phaze";"phaze";"EGYPT";1,02;180,6;0,99;72;118,8;2
"Sushiboys";"Sushiboys";"TLN";1,02;201,5;1,03;72;131,6;3
"amy";"amy";"ACE";1,02;198,8;1,02;74;132,9;3
"Epzz";"Epzz";"AT";1,02;183,2;0,9;74;123,4;2
"vicious";"vicious";"KOVA";1,02;214,2;1,05;72;140;3
"Near";"Near";"YLA";1,02;205,4;1,02;73;133,4;3
"murii";"murii";"DSY";1,02;227,1;1,1;70;142,7;3
"Kheops";"Kheops";"GK";1,02;215,4;1,04;69;136,5;3
"Kazuha";"Kazuha";"EQ C";1,02;154;0,88;73;98,9;2
"deNaro";"deNaro";"MIBR";1,02;190,7;0,98;73;124,4;3
"zMART";"zMART";"KRS";1,02;231,3;1,03;66;150;3
"INCURSIO";"INCURSIO";"Cavalry";1,02;207,8;1,02;67;143,2;3
"Drags";"Drags";"YPPB";1,02;194,3;0,98;73;127;3
"ChAlalala";"ChAlalala";"FS";1,02;180,6;1,02;75;116,8;2
"skrawl";"skrawl";"FC";1,02;197,2;0,98;71;130,3;3
"tsukuyomi";"tsukuyomi";"dream";1,02;248;1,11;56;173,6;3
"dESTRUCTIVEE";"dESTRUCTIVEE";"bonk";1,02;203,8;1;72;132,6;3
"Jerk";"Jerk";"Mapl";1,02;207,9;1,02;72;132,9;3
"thwifo";"thwifo";"NRG";1,02;192,9;0,99;71;122,6;3
"cheK";"cheK";"PER";1,02;221,9;1,11;76;136,9;3
"Бухой";"Бухой";"химик";1,02;196,6;0,99;66;128,4;3
"musashi";"musashi";"BIG";1,02;227,8;1,05;69;144,4;3
"mrcarrito";"mrcarrito";"GSNS";1,02;221,2;1,01;67;152,2;3
"kENZ";"kENZ";"Focus";1,02;200,5;0,99;69;130,7;3
"summertime";"summertime";"DART";1,02;212,8;0,94;70;139,6;3
"isaa";"isaa";"GLP";1,02;217,5;1,05;70;141,3;3
"k1Ng";"k1Ng";"GEN";1,02;204,7;1,13;72;133,6;3
"rood";"rood";"FOGU";1,02;198,1;0,99;68;128,8;3
"foxz";"foxz";"TLN";1,02;213,4;1,07;72;139,3;3
"skillZ";"skillZ";"GES";1,02;204,4;1,05;71;130,6;3
"Lied";"Lied";"SKC";1,02;203,1;1,12;69;133,7;3
"SUPERPHROG123456";"SUPERPHROG123456";"WAVE";1,01;223,9;1,09;67;139,8;3
"Wildfire.1";"Wildfire";"95x";1,01;234,3;0,98;84;145,7;3
"devilasxa";"devilasxa";"RBLS";1,01;205,5;0,99;72;135,8;3
"sorriso";"sorriso";"Lank";1,01;193,5;0,99;66;126,7;2
"Venerated";"Venerated";"LG";1,01;208;0,99;69;134,4;3
"Flaring";"Flaring";"NN";1,01;180;0,96;73;119,3;2
