"";"Player";"Team";"Rnd";"R";"ACS";"K:D";"KAST";"ADR";"HS%";"KMax";"IK"
"1246";"Jaigrayray";"47";339;0,99;183,5;0,95;"73%";128,2;"31%";27;1
"1247";"Oderus";"NYFU";5725;0,99;203,6;0,98;"69%";131,6;"27%";29;-73
"1248";"syfi";"YFP";3449;0,99;228,6;1,02;"68%";148,4;"22%";33;-1
"1249";"Muj";"FUT";2695;0,99;201,9;1;"71%";132,4;"27%";34;30
"1250";"Klaus";"KRÜ";3070;0,99;183,9;0,99;"73%";117,7;"20%";27;-51
"1251";"Bad";"Reve";715;0,99;228,8;0,98;"68%";150,9;"21%";28;2
"1252";"saiko";"MRS";3201;0,99;220,5;1;"68%";140,9;"23%";32;21
"1253";"Newzera";"KCORP";1886;0,99;186,7;1,03;"73%";118;"34%";34;-8
"1254";"SHIN";"KCORP";2212;0,99;192,1;0,98;"72%";123,7;"33%";27;-16
"1255";"Yosemite";"SN";1969;0,99;223,1;1,02;"71%";144,7;"21%";43;6
"1256";"vong";"FKS";1698;0,99;209;0,98;"70%";134,6;"26%";33;-11
"1257";"Persia";"OGT";1004;0,99;208;0,98;"68%";135;"21%";27;1
"1258";"alcoacH";"UP";242;0,99;223,6;1;"69%";146,2;"29%";27;-4
"1259";"TTyke";"PHXE";1442;0,99;235,2;1,06;"66%";149;"28%";30;14
"1260";"alyx";NA;59;0,99;218,7;0,96;"66%";145,4;"18%";23;-1
"1261";"xiTsha";"Z10";1983;0,99;206,4;1,01;"69%";132,2;"27%";34;0
"1262";"kSen";"Perf";64;0,99;244,7;0,9;"69%";155,8;"28%";19;4
"1263";"Cain";"RESO";2497;0,99;194,1;0,95;"73%";126;"22%";27;-18
"1264";"kc1nn";"KG";153;0,99;211,6;1,05;"67%";137,8;"18%";24;7
"1265";"VolcaN";"CRWN";2075;0,99;217,7;1,06;"67%";141,5;"20%";46;63
"1266";"TENNN";"ZETA";2097;0,99;209,5;0,96;"70%";138;"24%";36;-28
"1267";"Cooper";"ABX";190;0,99;183,6;1,02;"67%";120,8;"30%";21;-7
"1268";"fade";"full";167;0,99;218,8;0,96;"66%";143,4;"22%";17;-8
"1269";"Ar4n";"Phar";731;0,99;178,6;0,83;"74%";114;"19%";17;-10
"1270";"SpicyMufn";"SKULL";241;0,99;206,4;0,94;"68%";133,2;"24%";24;1
"1271";"Future";"EQ C";122;0,99;174,8;0,89;"64%";116,5;"28%";14;-1
"1272";"shonk";"SQ";4292;0,99;202,7;1;"71%";132,1;"33%";35;7
"1273";"Moothie";"NTH";1323;0,99;196,7;0,93;"65%";130,2;"27%";35;20
"1274";"Sozi";"RN";695;0,99;212,2;0,99;"69%";136,4;"25%";30;-6
"1275";"xuss";"TQ";3570;0,99;225,9;1,02;"67%";141,5;"24%";35;14
"1276";"xyN";"gene";863;0,99;197;0,94;"73%";122,6;"32%";29;10
"1277";"eVoL";"TI";2441;0,99;185;0,97;"70%";125,4;"32%";28;0
"1278";"Cud";"BTR";1099;0,99;216,7;1,05;"67%";142,1;"27%";33;-21
"1279";"bramz";"BDS";3616;0,99;208,8;1,04;"70%";132,4;"25%";32;43
"1280";"KHaaLiD";"SA";1803;0,99;201,9;0,94;"69%";130,7;"28%";28;-48
"1281";"GatsH";"RBLS";2835;0,99;209;1,05;"72%";133;"19%";33;24
"1282";"dispenser";"TS";3709;0,99;199,7;1,03;"70%";130,5;"21%";28;-25
"1283";"Evo";"OAS";227;0,99;175,1;0,83;"75%";121,2;"17%";20;-6
"1284";"Kyie";NA;73;0,99;219,3;0,93;"60%";157,2;"31%";21;0
