"";"t1";"t2"
"960";13;10
"961";2;2
"962";1;1
"963";2;11
"964";5;3
"965";1;3
"966";1;1
"967";4;9
"968";2;1
"969";0;0
"970";0;0
"971";0;2
"972";1;1
"973";0;2
"974";1;0
"975";0;0
"976";2;1
"977";2;0
"978";1;1
"979";7;4
"980";0;0
"981";3;3
"982";0;0
"983";0;0
"984";0;0
"985";5;1
"986";0;0
"987";0;0
"988";0;0
"989";1;3
"990";0;2
"991";0;0
"992";0;0
"993";0;0
"994";0;0
"995";0;0
"996";1;1
"997";1;1
"998";1;1
"999";0;0
"1000";4;3
"1001";0;0
"1002";0;0
"1003";0;0
"1004";6;7
"1005";0;0
"1006";0;0
"1007";4;1
"1008";0;3
"1009";2;3
"1010";0;0
"1011";0;0
"1012";4;2
"1013";0;0
"1014";2;0
"1015";0;0
"1016";0;0
"1017";0;0
"1018";0;0
"1019";0;0
"1020";3;5
"1021";2;0
"1022";0;0
"1023";0;0
"1024";0;0
"1025";2;1
"1026";10;7
"1027";8;5
"1028";2;0
"1029";0;0
"1030";0;0
"1031";2;5
"1032";3;13
"1033";4;4
"1034";0;0
"1035";1;2
"1036";0;0
"1037";0;2
"1038";9;5
"1039";2;3
"1040";0;0
"1041";1;2
"1042";0;0
"1043";2;2
"1044";2;0
"1045";0;2
"1046";3;1
"1047";0;0
"1048";0;0
"1049";2;0
"1050";0;0
"1051";0;1
"1052";0;0
"1053";3;2
"1054";0;0
"1055";3;4
"1056";0;0
"1057";1;4
"1058";5;2
"1059";2;2
"1060";0;0
"1061";4;4
"1062";0;0
"1063";0;4
"1064";0;0
"1065";7;5
"1066";0;2
"1067";2;0
"1068";3;0
"1069";0;0
"1070";2;2
"1071";0;0
"1072";0;2
"1073";0;0
"1074";2;0
"1075";1;0
"1076";4;0
"1077";3;5
"1078";3;0
"1079";9;4
"1080";1;2
"1081";0;3
"1082";2;0
"1083";2;0
"1084";2;1
"1085";4;2
"1086";2;2
"1087";1;1
"1088";0;2
"1089";4;3
"1090";2;0
"1091";3;5
"1092";1;2
"1093";3;7
"1094";0;0
"1095";5;5
"1096";0;0
"1097";0;0
"1098";2;1
"1099";0;0
"1100";0;0
"1101";1;3
"1102";0;2
"1103";0;0
"1104";0;4
"1105";3;3
"1106";3;0
"1107";0;1
"1108";0;3
"1109";2;1
"1110";0;0
"1111";1;1
"1112";3;0
"1113";6;5
"1114";3;3
"1115";5;10
"1116";2;1
"1117";5;13
"1118";0;3
"1119";5;2
"1120";3;0
"1121";1;2
"1122";1;0
"1123";0;0
"1124";0;0
"1125";2;0
"1126";0;3
"1127";6;2
"1128";0;0
"1129";0;0
"1130";0;0
"1131";0;0
"1132";2;1
"1133";0;3
"1134";6;8
"1135";3;9
"1136";1;2
"1137";7;2
"1138";4;0
"1139";0;0
"1140";0;0
"1141";3;0
"1142";0;0
"1143";0;0
"1144";0;0
"1145";0;3
"1146";0;0
"1147";0;0
"1148";0;0
"1149";0;0
"1150";2;1
"1151";4;4
"1152";4;1
"1153";0;0
"1154";0;2
"1155";0;0
"1156";0;0
"1157";0;3
"1158";5;1
"1159";6;6
"1160";0;2
"1161";1;4
"1162";3;2
"1163";4;1
"1164";0;0
"1165";0;0
"1166";3;4
"1167";0;0
"1168";0;0
"1169";5;3
"1170";0;1
"1171";0;4
"1172";0;0
"1173";0;4
"1174";2;6
"1175";0;2
"1176";2;4
"1177";0;0
"1178";4;0
"1179";0;0
"1180";3;2
"1181";2;2
"1182";0;8
"1183";2;3
"1184";0;0
"1185";0;0
"1186";0;0
"1187";0;2
"1188";4;0
"1189";2;1
"1190";0;0
"1191";1;2
"1192";2;6
"1193";2;3
"1194";0;0
"1195";2;1
"1196";0;0
"1197";0;0
"1198";0;0
"1199";0;0
"1200";3;0
"1201";0;0
"1202";5;19
"1203";11;6
"1204";0;0
"1205";3;6
"1206";2;7
"1207";2;1
"1208";1;0
"1209";0;0
"1210";0;0
"1211";3;4
"1212";5;1
"1213";5;22
"1214";4;1
"1215";1;2
"1216";4;7
"1217";0;0
"1218";2;1
"1219";3;3
"1220";0;0
"1221";0;0
"1222";3;1
"1223";0;0
"1224";8;1
"1225";2;3
"1226";0;4
"1227";2;1
"1228";3;3
"1229";3;1
"1230";11;3
"1231";3;0
"1232";1;2
"1233";0;0
"1234";1;2
"1235";1;0
"1236";3;8
"1237";0;3
"1238";5;0
"1239";1;0
"1240";2;2
"1241";6;1
"1242";0;3
"1243";2;1
"1244";2;1
"1245";0;0
"1246";2;1
"1247";1;2
"1248";0;0
"1249";0;0
"1250";1;0
"1251";13;3
"1252";2;0
"1253";4;5
"1254";3;3
"1255";5;3
"1256";3;0
"1257";8;7
"1258";0;1
"1259";3;0
"1260";7;3
"1261";1;1
"1262";7;2
"1263";3;4
"1264";4;6
"1265";0;3
"1266";0;1
"1267";1;0
"1268";0;0
"1269";4;3
"1270";1;2
"1271";1;2
"1272";3;0
"1273";10;9
"1274";0;0
"1275";0;3
"1276";0;0
"1277";1;0
"1278";0;0
"1279";1;0
"1280";0;0
"1281";0;0
"1282";0;0
"1283";1;0
"1284";0;2
"1285";0;0
"1286";2;0
"1287";0;0
"1288";0;0
"1289";0;0
"1290";0;3
"1291";4;4
"1292";1;2
"1293";0;1
"1294";0;0
"1295";2;0
"1296";0;0
"1297";0;0
"1298";2;1
"1299";0;0
"1300";0;1
"1301";1;2
"1302";0;0
"1303";3;0
"1304";0;0
"1305";3;0
"1306";2;1
"1307";0;0
"1308";0;0
"1309";0;2
"1310";0;0
"1311";0;0
"1312";0;0
"1313";0;0
"1314";0;0
"1315";1;2
"1316";2;0
"1317";2;1
"1318";0;0
"1319";5;3
"1320";0;0
"1321";12;12
"1322";0;0
"1323";0;2
"1324";0;0
"1325";0;2
"1326";0;0
"1327";0;0
"1328";2;2
"1329";4;1
"1330";1;3
"1331";2;5
"1332";0;0
"1333";6;3
"1334";5;5
"1335";3;2
"1336";0;0
"1337";2;2
"1338";2;0
"1339";1;4
"1340";0;0
"1341";0;0
"1342";1;2
"1343";0;0
"1344";7;1
"1345";2;1
"1346";3;3
"1347";3;6
"1348";0;0
"1349";0;0
"1350";0;0
"1351";2;0
"1352";1;2
"1353";1;8
"1354";3;5
"1355";2;0
"1356";4;3
"1357";4;0
"1358";1;5
"1359";0;2
"1360";0;0
"1361";0;0
"1362";3;3
"1363";4;9
"1364";20;8
"1365";4;8
"1366";2;1
"1367";5;3
"1368";0;0
"1369";0;3
"1370";1;0
"1371";0;7
"1372";1;7
"1373";3;0
"1374";15;15
"1375";0;0
"1376";0;1
"1377";1;2
"1378";20;9
"1379";1;0
"1380";0;0
