"";"time1R";"time2R";"time1ACS";"time2ACS";"time1KAST";"time2KAST";"time1KD";"time2KD";"time1ADR";"time2ADR";"ganhador"
"256";1,046;0,958;211,06;197,38;71,8;69,2;1,076;0,958;136,9;130,34;1
"257";1,032;1,028;217,18;205,48;69,4;71,2;1,064;1,048;140,64;131,98;0
"258";1,092;1,002;220,58;209,86;73,6;69,8;1,126;0,98;142,44;137,2;1
"259";0,976;0,968;202,08;197,02;69,6;68,2;0,972;0,964;130,76;128,76;1
"260";1,038;1,054;212,76;210,16;71;72,2;1,062;1,046;136,88;137,26;0
"261";1,056;0,988;213,38;201,14;71,4;70,2;1,084;0,958;138,88;131,62;1
"262";1,058;0,926;208,38;194,02;74,2;68,4;1,08;0,936;136,16;126,52;1
"263";1,056;0,974;215,1;199,14;71,2;70;1,084;0,95;139,3;132,9;1
"264";1,058;0,988;208,38;201,14;74,2;70,2;1,08;0,958;136,16;131,62;1
"265";0,974;0,926;199,14;194,02;70;68,4;0,95;0,936;132,9;126,52;0
"266";0,958;0,892;198,36;186,02;68,4;66,8;0,962;0,862;128,74;121,9;1
"267";1,038;1,028;208,86;205,48;70,6;71,2;1,068;1,048;136,06;131,98;0
"268";1,024;0,914;205,62;190,6;69,8;69,4;1,006;0,948;130,84;125,62;1
"269";0,942;1,04;189,72;208,62;69,6;72,4;0,914;1,052;124,66;135,46;0
"270";1,092;1,042;220,58;210,54;73,6;73,2;1,126;1,048;142,44;135,78;0
"271";1,04;0,934;208,62;194,22;72,4;68,6;1,052;0,928;135,46;127,56;1
"272";0,898;0,836;187,06;187,98;68,4;62,2;0,864;0,846;124,1;121,8;1
"273";0,934;0,964;194,22;203,12;68,6;68,2;0,928;0,958;127,56;132;1
"274";1,054;1,038;210,16;212,76;72,2;71;1,046;1,062;137,26;136,88;0
"275";0,988;0,952;199,34;194,6;70,4;69,2;0,968;0,936;129,58;125,82;1
"276";0,958;0,944;197,38;196,24;69,2;68,6;0,958;0,92;130,34;128,46;0
"277";0,876;0,892;190,18;186,02;66,6;66,8;0,87;0,862;124,96;121,9;0
