"";"time1RND";"time1R";"time1ACS";"time1KAST";"time1KD";"time1ADR";"time1KPR";"time1APR";"time1FKPR";"time1FDPR";"time1K";"time1D";"time1A";"time1FK";"time1FD";"time2RND";"time2R";"time2ACS";"time2KAST";"time2KD";"time2ADR";"time2KPR";"time2APR";"time2FKPR";"time2FDPR";"time2K";"time2D";"time2A";"time2FK";"time2FD";"ganhador"
"90";1389,478;1,052;220,9;70,8;1,134;141,096;0,774;0,274;0,114;0,098;1075,366;942,054;392,106;146,652;127,602;2003,812;1,108;213,38;74;1,142;137,916;0,754;0,286;0,102;0,088;1557,328;1336,638;520,81;240,52;193,496;1
"91";401,886;0,984;220,622;67,6;1,074;139,468;0,762;0,266;0,118;0,106;310,05;285,61;101,948;47,886;39,676;350,246;0,988;206,992;70,2;1,008;134,34;0,724;0,276;0,1;0,11;255,91;250,13;90,71;38,308;38,568;1
"92";1138,152;0,986;195,298;70,2;1,002;124,888;0,678;0,306;0,08;0,086;797,752;751,962;366,744;87,752;84,28;1168,14;1,038;209,408;70,4;1,084;134,716;0,726;0,294;0,106;0,102;857,788;766,066;395,28;107,362;95,35;1
"93";615,5;0,84;176,046;65;0,85;111,434;0,608;0,232;0,084;0,094;479,398;410,23;124,694;80,31;57,386;350,246;0,988;206,992;70,2;1,008;134,34;0,724;0,276;0,1;0,11;255,91;250,13;90,71;38,308;38,568;0
"94";1376,15;1,094;218,944;72,8;1,14;141,546;0,762;0,302;0,108;0,094;1045,028;918,022;415,846;153,764;129,14;2474,458;1,134;215,434;74,6;1,212;138,726;0,764;0,272;0,098;0,074;1927,928;1565,222;633,812;240,162;175,514;0
"95";1016,092;1,048;220,374;71;1,114;140,246;0,768;0,252;0,138;0,116;802,696;704,408;223,404;164,832;128,432;685,948;1,06;215,718;71,8;1,098;140,016;0,75;0,272;0,108;0,096;516,732;462,058;180,466;72,164;64,978;1
"96";1364,016;1,1;223;72,8;1,172;143,296;0,776;0,288;0,118;0,102;1095,962;914,264;369,27;180,198;151,788;1103,544;1,01;213,14;69,6;1,052;137,15;0,744;0,246;0,122;0,112;867,292;773,436;262,166;153,79;117,508;1
"97";651,42;0,972;202,136;69;0,962;133,792;0,698;0,286;0,096;0,104;434,498;446,552;225,016;45,904;49,99;880,838;1,076;227,22;71,8;1,134;143,4;0,796;0,248;0,132;0,12;707,394;619,452;214,996;120,254;107,654;0
"98";858,498;1,028;217,048;68,4;1,16;139,212;0,758;0,298;0,102;0,088;661,332;554,722;278,736;82,524;63,814;419,464;1,088;221,682;71,8;1,124;143,648;0,77;0,264;0,116;0,102;318,604;284,834;114,546;46,298;40,804;1
"99";657,674;0,88;209,048;61,2;1,054;135,416;0,726;0,264;0,096;0,09;483,978;432,092;175,836;59,876;49,82;1008,596;1,048;213,038;73,4;1,084;135,27;0,74;0,25;0,114;0,11;767,566;698,872;233,238;125,034;113,656;1
"100";329,486;0,916;193,052;68,4;0,91;126,114;0,676;0,274;0,098;0,1;233,132;242,722;78,898;36,714;36,084;1096,742;1,03;223,184;67,8;1,162;142,556;0,78;0,276;0,118;0,102;899,926;738,354;265,378;155,22;113,87;0
"101";148,57;1,1;221,836;73,6;1,146;143,03;0,77;0,32;0,12;0,09;121,274;102,864;42,974;19,664;13,708;95,91;0,96;208,006;69,6;0,976;134,654;0,718;0,254;0,094;0,106;67,238;68,58;23,804;8,81;8,51;1
"102";542,784;1,108;216,864;72,8;1,152;138,61;0,756;0,306;0,104;0,092;418,08;353,982;171,892;55,444;48,662;620,776;1,006;210,504;68,6;1,066;134,048;0,734;0,248;0,11;0,104;474,22;433,51;139,434;85,566;74,534;1
"103";295,7;1,092;214,65;72;1,136;140,178;0,75;0,282;0,11;0,1;224,43;194,888;82,724;33,768;28,236;457,96;1,024;212,002;70;1,116;137,12;0,738;0,29;0,098;0,084;341,626;303,13;129,972;46,674;38,504;1
"104";959,632;1,014;198,124;72,4;1,048;126,896;0,708;0,272;0,098;0,082;658,57;658,304;250,2;97,86;87,58;668,926;1,028;210,302;72;1,046;134,078;0,734;0,272;0,104;0,102;504,912;478,482;170,78;77,272;72,518;1
"105";616,532;0,972;220,642;66,4;1,084;139,326;0,772;0,228;0,136;0,124;493,368;440,412;135,136;89,318;78,554;498,728;1,06;219,712;71,2;1,102;139,84;0,76;0,274;0,134;0,114;390,502;357,02;115,468;76,372;64,402;0
"106";486,354;1,044;213,04;69,6;1,086;137,362;0,746;0,242;0,116;0,104;379,24;331,266;112,418;65,036;51,126;900,702;1,022;222,276;69,2;1,092;141,39;0,774;0,268;0,122;0,108;697,418;626,506;238,342;99,558;86,818;1
"107";498,728;1,06;219,712;71,2;1,102;139,84;0,76;0,274;0,134;0,114;390,502;357,02;115,468;76,372;64,402;194,76;0,982;203,172;69;0,982;131,144;0,706;0,27;0,104;0,114;133,746;138,804;48,078;18,918;19,522;1
"108";813,972;0,988;207,074;69,6;1,068;132,588;0,73;0,244;0,114;0,096;633,828;547,252;170,228;107,19;79,128;1383,294;1,084;222,22;72,8;1,156;143,456;0,776;0,252;0,112;0,094;1082,216;928,964;355,814;153,772;127,908;1
"109";2160,296;1,026;212,298;69,2;1,1;135,486;0,738;0,264;0,122;0,1;1668,698;1470,518;574,056;307,582;233,156;1082,434;1,016;212,968;69,6;1,104;135,462;0,752;0,246;0,114;0,096;921,188;756,328;213,872;199,406;148,92;1
"110";616,532;0,972;220,642;66,4;1,084;139,326;0,772;0,228;0,136;0,124;493,368;440,412;135,136;89,318;78,554;360,904;1,044;208,374;72;1,088;134,754;0,732;0,294;0,094;0,096;254,246;252,8;101,724;34,272;35,96;1
"111";741,744;1,018;201,218;71,8;1,05;131,684;0,712;0,238;0,1;0,092;527,602;497,08;167,732;69,966;61,364;795,846;1,1;236,356;69,4;1,224;150,938;0,832;0,222;0,156;0,122;711,876;538,328;144,472;153,418;107,216;0
"112";973,388;1,02;216,608;69,6;1,078;139,52;0,746;0,294;0,116;0,1;707,474;658,784;295,694;99,098;82,752;787,568;1,016;215,506;68,8;1,064;140,334;0,748;0,26;0,11;0,108;609,652;554,866;208,864;94,044;87,256;0
"113";1190,704;1;210,142;70,6;1,03;134,92;0,73;0,252;0,128;0,116;895,718;838,88;281,288;166,534;142,356;812,708;1,036;208,164;71,2;1,056;135,316;0,724;0,29;0,102;0,098;615,086;559,314;221,986;98,708;85,388;0
"114";643,914;0,992;202,212;69,6;1,04;131,94;0,71;0,248;0,088;0,088;462,472;437,176;159,83;56,908;53,908;1005,356;0,946;217,114;64,2;1,108;135,002;0,76;0,274;0,116;0,104;767,652;687,028;284,63;127,09;98,536;0
"115";1684,804;1,092;219,912;73,2;1,154;141,106;0,768;0,278;0,114;0,092;1355,096;1146,986;456,502;220,204;162,982;827,952;0,996;199,068;70,8;0,98;128,88;0,686;0,28;0,096;0,094;609,576;583,494;208,792;109,416;94,474;1
"116";1323,588;1,022;215,944;71,2;1,04;138,472;0,746;0,282;0,12;0,114;1004,234;923,55;442,806;146,278;129,686;963,022;1,004;206,172;68,4;1,076;133,058;0,734;0,236;0,106;0,098;723,574;655,83;225,594;116,484;99,808;1
"117";1319,848;1,028;203,976;70,6;1,066;129,598;0,726;0,27;0,106;0,102;972,488;884,256;353,094;142,382;126,372;774,646;0,982;207,982;69,2;1,02;134,1;0,726;0,284;0,104;0,098;587,292;554,692;203,722;90,928;79,968;1
"118";1618,618;1;210,714;68,4;1,124;132,926;0,74;0,25;0,112;0,092;1222,992;1066,806;361,878;205,348;165,03;1573,632;1,052;214,134;71,8;1,07;137,064;0,738;0,28;0,116;0,104;1183,844;1086,854;443,634;205,298;169,016;1
"119";1254,18;1,034;202,032;72;1,094;130,634;0,712;0,278;0,08;0,076;910,68;777,464;316,236;99,486;79,758;431,444;1,01;217,128;70,6;1,04;140,634;0,76;0,238;0,12;0,114;330,798;308,082;99,058;49,82;43,234;1
"120";793,718;0,95;194,752;69,4;0,948;127,638;0,674;0,272;0,096;0,1;571,8;552,526;187,466;89,286;85,682;827,796;1,008;222,236;69,8;1,076;142,664;0,774;0,268;0,126;0,116;651,054;588,52;175,976;113,916;98,49;0
"121";249,608;0,93;189,176;66,2;0,946;127,144;0,67;0,23;0,072;0,088;166,46;175,212;56,268;16,486;18,896;952,786;1,138;236,964;73,2;1,192;151,216;0,826;0,26;0,148;0,118;819,892;676,388;219,894;161,156;127,878;0
