"";"time1RND";"time1R";"time1ACS";"time1KAST";"time1KD";"time1ADR";"time1KPR";"time1APR";"time1FKPR";"time1FDPR";"time1K";"time1D";"time1A";"time1FK";"time1FD";"time2RND";"time2R";"time2ACS";"time2KAST";"time2KD";"time2ADR";"time2KPR";"time2APR";"time2FKPR";"time2FDPR";"time2K";"time2D";"time2A";"time2FK";"time2FD";"ganhador"
"365";221,996;0,978;199,928;68,6;0,956;130,572;0,688;0,296;0,098;0,098;154,136;161,674;75,246;21,572;23,264;1102,832;1,034;215,314;70,6;1,082;138,426;0,762;0,246;0,11;0,104;902,706;782,484;222,904;149,018;125,656;0
"366";201,758;1,01;211,178;71,2;1,036;137,74;0,738;0,272;0,096;0,102;148,754;146,584;53,692;20,648;22,508;195,014;0,952;207,604;69;0,956;135,236;0,712;0,306;0,104;0,102;144,902;144,362;58,922;21,872;20,46;0
"367";419,464;1,088;221,682;71,8;1,124;143,648;0,77;0,264;0,116;0,102;318,604;284,834;114,546;46,298;40,804;286,218;0,974;208,072;69,2;1,02;133,864;0,718;0,276;0,108;0,11;205,726;202,944;78,924;31,652;28,726;1
"368";1219,684;1,036;210,274;71,8;1,06;136,644;0,732;0,288;0,094;0,094;888,446;837,318;325,418;111,496;107,404;240,854;0,926;205,46;65,6;0,988;130,264;0,718;0,304;0,104;0,098;177,076;173,464;70,412;24,642;23,65;1
"369";1243,14;1,074;216,16;72;1,13;140,494;0,758;0,272;0,11;0,102;959,762;829,144;296,926;144,356;121,728;763,05;0,998;209,462;69,6;1,014;136,52;0,732;0,254;0,11;0,104;585,12;560,41;154,322;104,304;91,616;1
"370";656,566;1,052;209,632;72,2;1,08;135,212;0,724;0,28;0,108;0,098;467,732;425,422;177,124;65,244;57,554;646,968;1,104;226,534;71,8;1,23;144,42;0,792;0,254;0,132;0,11;537,236;452,59;146,796;114,058;88,952;0
"371";1160,098;1,064;213,344;71;1,08;139,39;0,744;0,266;0,102;0,086;862,644;802,978;325,408;124,408;101,038;2130,648;1,064;213,874;72;1,086;138,506;0,748;0,278;0,098;0,092;1604,004;1456,684;584,35;209,064;193,912;1
"372";2591,568;1,128;219,808;74,4;1,154;140,546;0,766;0,296;0,114;0,098;2054,454;1693,696;682,696;357,196;263,398;1642,258;1,074;219,162;72,2;1,104;141,962;0,76;0,276;0,126;0,112;1267,808;1125,998;483,658;212,828;182,204;1
"373";2601,55;1,034;205,006;71,4;1,058;132,008;0,712;0,328;0,086;0,08;1808,63;1708,226;902,196;208,664;187,08;1439,394;1,134;235,186;73,6;1,19;151,776;0,82;0,278;0,12;0,096;1127,798;953,62;410,6;144,638;117,382;1
"374";454,854;0,912;195,56;66,8;0,918;129,35;0,68;0,258;0,092;0,11;309,002;340,21;133,322;36,354;44,578;797,098;1,028;203,814;72,2;1,026;132,886;0,706;0,306;0,084;0,086;570,73;539,002;248,752;63,636;58,15;0
"375";346,55;0,988;211,578;68,8;1;136,864;0,736;0,248;0,122;0,12;261,432;252,456;93,842;44,634;39,524;249,984;0,956;195,328;69,4;0,92;128,65;0,67;0,296;0,102;0,11;180,064;181,664;56,3;29,24;27,444;0
"376";1578,058;1,03;211,372;71,4;1,042;136,45;0,738;0,276;0,104;0,104;1208,918;1121,588;394,946;194,744;184,208;127,39;0,978;205,916;70,8;0,974;136,124;0,704;0,324;0,094;0,102;89,202;94,204;38,35;13,524;13,934;1
"377";2039,396;1,048;212,472;72,6;1,072;137,01;0,742;0,264;0,108;0,1;1573,63;1436,604;455,008;289,332;241,972;1952,326;1;201,17;70,2;1,006;131,196;0,702;0,296;0,096;0,094;1478,506;1311,862;657,24;184,684;159,18;1
"378";194,76;0,982;203,172;69;0,982;131,144;0,706;0,27;0,104;0,114;133,746;138,804;48,078;18,918;19,522;213,42;1,16;223,026;77;1,192;143,154;0,778;0,352;0,122;0,102;165,898;141,67;69,21;26,03;23,34;1
"379";497,562;0,99;204,196;70,2;1,02;133,544;0,72;0,252;0,108;0,104;366,318;343,846;120,928;54,976;48,232;436,386;0,91;197,712;67,8;0,934;129,21;0,688;0,254;0,098;0,106;322,036;316,624;100,116;49,372;50,556;1
"380";643,914;0,992;202,212;69,6;1,04;131,94;0,71;0,248;0,088;0,088;462,472;437,176;159,83;56,908;53,908;1323,588;1,022;215,944;71,2;1,04;138,472;0,746;0,282;0,12;0,114;1004,234;923,55;442,806;146,278;129,686;0
"381";411,626;0,96;203,262;69,6;0,942;131,69;0,702;0,29;0,098;0,106;286,792;304,938;120,652;37,872;44,258;428,588;0,92;194,102;68;0,92;128,388;0,67;0,276;0,088;0,1;282,944;311,406;119,952;36,262;40,782;1
