"";"time1R";"time2R";"time1ACS";"time2ACS";"time1KAST";"time2KAST";"time1KD";"time2KD";"time1ADR";"time2ADR";"ganhador"
"585";1,034;1,08;205,098;209,392;71,4;73;1,06;1,088;132,032;135,968;0
"586";1,108;1,052;213,38;206,66;74;72;1,142;1,06;137,916;132,512;1
"587";1,064;1,08;220,096;202,436;72,4;73;1,094;1,096;141,266;128,946;1
"588";1,046;1,032;196,408;205,838;73,4;71,6;1,042;1,066;128,43;135,322;0
"589";1,074;1,03;218,63;207,858;72,2;71,2;1,11;1,042;139,954;136,84;0
"590";1,058;1,056;217,084;222,42;72;70,2;1,056;1,086;141,912;142,536;0
"591";1,09;1,01;214,928;199,106;72,8;72,6;1,154;0,972;137,936;127,83;1
"592";1,072;1,08;216,216;215,012;71,4;72,2;1,184;1,102;133,892;139,39;1
"593";1,092;1,022;218,012;205,016;73,6;71,6;1,122;1,028;139,552;134,712;1
"594";1,026;1,02;214,524;205,124;70,2;72;1,068;1,006;138,73;133,772;1
"595";1,026;1,064;205,468;214,192;72;72,2;1,034;1,086;132,846;139,886;1
"596";1,058;1,084;217,084;208,732;72;73,4;1,056;1,094;141,912;135,562;1
"597";1,056;1,056;222,42;208,526;70,2;73,4;1,086;1,046;142,536;134,138;1
"598";1,074;1,054;218,63;212,59;72,2;71,8;1,11;1,092;139,954;136,716;0
"599";1,03;1,042;207,858;206,4;71,2;71,2;1,042;1,066;136,84;133,57;0
"600";1,046;1,064;196,408;220,096;73,4;72,4;1,042;1,094;128,43;141,266;0
"601";1,032;1,08;205,838;202,436;71,6;73;1,066;1,096;135,322;128,946;0
"602";1,09;1,04;214,928;213,464;72,8;71,6;1,154;1,07;137,936;138,432;1
"603";1,01;1,034;199,106;215,33;72,6;70,4;0,972;1,08;127,83;138,934;1
"604";1,108;1,05;213,38;214,874;74;70,8;1,142;1,076;137,916;139,332;1
"605";1,052;1,02;206,66;207,072;72;71,2;1,06;1,02;132,512;137,056;1
"606";1,034;0,998;205,098;201,37;71,4;70,2;1,06;1;132,032;133,552;1
"607";1,08;1,054;209,392;218,17;73;72,2;1,088;1,086;135,968;140,546;1
"608";1,06;1,038;215,718;208,146;71,8;71;1,098;1,074;140,016;132,406;0
"609";1,006;1,048;205,352;220,374;71,4;71;1,074;1,114;128,87;140,246;1
"610";1,08;0,908;215,012;195,706;72,2;67,4;1,102;0,898;139,39;127,622;1
"611";1,052;1,054;210,144;218,17;72,8;72,2;1,078;1,086;135,458;140,546;0
"612";1,072;0,898;216,216;203,186;71,4;66;1,184;0,94;133,892;130,332;1
"613";1,09;0,97;214,928;206,868;72,8;69,4;1,154;1,006;137,936;135,362;1
"614";1,122;0,998;235,162;201,37;72;70,2;1,232;1;151,72;133,552;0
"615";1,01;0,94;199,106;198,694;72,6;67,6;0,972;0,95;127,83;130,046;1
"616";1,092;1,024;218,012;207,648;73,6;71,2;1,122;1,03;139,552;134,93;1
"617";1,02;1,084;207,68;208,732;70,6;73,4;1,038;1,094;134,872;135,562;0
"618";1,014;0,908;213,038;195,706;70;67,4;1,042;0,898;137,468;127,622;0
"619";1,072;0,916;216,216;193,73;71,4;67,8;1,184;0,932;133,892;129,09;1
"620";1,074;0,846;218,63;184,256;72,2;65,6;1,11;0,814;139,954;122,804;1
"621";0,97;1,034;206,868;211,426;69,4;71;1,006;1,042;135,362;136,904;1
"622";1,122;0,986;235,162;198,322;72;70,8;1,232;0,982;151,72;126,692;1
"623";1,01;1,064;199,106;217,49;72,6;72;0,972;1,082;127,83;140,554;1
"624";1,072;0,772;216,216;167,042;71,4;60,8;1,184;0,706;133,892;113,374;1
"625";1,014;0,676;213,038;164,946;70;58,8;1,042;0,708;137,468;112,176;1
"626";1,074;0,938;218,63;198,334;72,2;68;1,11;0,932;139,954;130,142;1
"627";0,858;0,998;186,786;195,802;63,6;73,6;0,828;1,012;121,41;126,508;0
"628";1,108;0,926;224,438;188,414;73,4;72,4;1,168;0,878;144,474;124,614;1
"629";0,97;0,8;206,868;183,6;69,4;61,8;1,006;0,76;135,362;122,16;1
"630";1,01;0,644;199,106;158,476;72,6;58,4;0,972;0,656;127,83;104,316;1
"631";1,122;0,6;235,162;157,544;72;55;1,232;0,608;151,72;104,304;1
"632";1,054;0,458;210,832;121,1;71,6;49,8;1,102;0,396;136,23;82,82;1
"633";0,992;0,992;207,876;202,212;68,8;69,6;1,108;1,04;132,682;131,94;0
"634";0,996;1,088;198,896;219,818;71;73;0,98;1,154;128,67;141,056;0
"635";0,946;1,022;217,114;222,276;64,2;69,2;1,108;1,092;135,002;141,39;0
"636";1,036;1,046;209,368;217,112;70,8;70,2;1,078;1,126;134,592;139,676;0
"637";1,034;1,026;210,844;212,426;70,2;69,2;1,124;1,1;135,492;135,52;1
"638";1;1,008;210,714;205,784;68,4;70,8;1,124;1,034;132,926;134,66;1
"639";1,024;0,988;211,816;207,074;70,4;69,6;1,084;1,068;137,56;132,588;0
"640";1,01;0,994;217,128;204,312;70,6;68,6;1,04;1,042;140,634;131,738;1
"641";1,02;1,02;215,634;216,654;68,8;69,8;1,062;1,08;140,448;139,49;0
"642";1,06;0,99;226,614;202,434;70,8;70,4;1,146;0,994;142,632;132,016;0
"643";1,008;0,924;222,092;191,738;69,8;68,4;1,078;0,91;142,546;126,416;1
"644";1,022;1,084;215,944;222,22;71,2;72,8;1,04;1,156;138,472;143,456;0
"645";1,054;1,032;209,682;210,708;72,2;71;1,092;1,132;135,998;134,928;0
"646";0,978;1,028;212,196;203,96;68,6;70,6;1,04;1,068;137,16;129,57;0
"647";1,108;0,972;223,73;197,294;72,6;70;1,158;0,964;144,844;129,042;1
