"";"time1R";"time2R";"time1ACS";"time2ACS";"time1KAST";"time2KAST";"time1KD";"time2KD";"time1ADR";"time2ADR";"ganhador"
"620";1,082;0,97;213,02;199,9;73;69,8;1,116;0,964;137,36;131,06;1
"621";1,096;0,81;216,32;189,04;73,2;66;1,124;0,834;139,24;123,22;1
"622";1,012;0,9;203,02;187,62;70,6;66,8;1,016;0,86;131;124;1
"623";1,096;0,672;216,32;158,32;73,2;57,8;1,124;0,656;139,24;106,14;1
"624";1,096;0,9;216,32;187,62;73,2;66,8;1,124;0,86;139,24;124;1
"625";1;0,842;202,5;178,46;70,4;65,4;0,984;0,816;131,24;118,02;1
"626";0,97;0,932;199,9;194,26;69,8;69,2;0,964;0,918;131,06;128,22;1
"627";1,082;0,952;213,02;194,54;73;69,2;1,116;0,936;137,36;129,92;1
"628";0,85;0,89;184,74;197,58;63,6;67,4;0,836;0,876;121,04;128,66;0
"629";1,082;0,996;213,02;200,44;73;71,2;1,116;0,978;137,36;131,18;1
"630";0,894;0,836;193,78;179,66;66,8;63,2;0,862;0,786;125,02;118,88;0
"631";0,71;0,916;153,76;188,02;56,2;68,2;0,642;0,882;101,6;123,64;0
"632";0,83;1,058;181,06;213,64;69;72;0,836;1,06;120,1;139,9;0
"633";1,036;0,872;207,52;185,08;73,8;66,2;1,044;0,874;134,74;121,4;1
"634";1,016;0,606;203,48;151,12;72,8;53;1,028;0,544;132,56;100,72;1
"635";0,912;0,978;194,66;204,38;67,4;70,8;0,908;1,002;128,94;134,02;0
"636";0,938;0,8;197,28;171,72;68;63,6;0,922;0,756;129,4;116,44;1
"637";0,892;0,788;189,62;175,62;69;64,2;0,852;0,766;125,04;118,14;1
"638";0,974;0,814;197,56;189,2;71,2;63,6;0,974;0,802;129,76;124,86;1
"639";1,09;1;214,86;202,92;74,2;70,2;1,138;0,998;141,2;131,46;1
"640";0,91;1,016;193,58;203,48;68,2;72,8;0,868;1,028;129,76;132,56;1
"641";0,986;0,864;199,72;191,88;71,8;64;0,974;0,852;131,46;126,14;1
"642";0,986;1,09;199,72;214,86;71,8;74,2;0,974;1,138;131,46;141,2;0
"643";1,016;0,938;203,48;197,28;72,8;68;1,028;0,922;132,56;129,4;1
"644";0,974;0,912;197,56;194,66;71,2;67,4;0,974;0,908;129,76;128,94;1
"645";0,978;0,788;204,38;175,62;70,8;64,2;1,002;0,766;134,02;118,14;0
"646";0,912;0,792;194,66;183;67,4;65,4;0,908;0,752;128,94;121,94;1
"647";0,8;0,974;171,72;197,56;63,6;71,2;0,756;0,974;116,44;129,76;0
"648";0,974;0,892;197,56;189,62;71,2;69;0,974;0,852;129,76;125,04;1
"649";1,134;1,036;222,86;209,56;74,6;71,6;1,202;1,058;143,1;134,9;1
